记录ID,金额,物品
1207,5,队友重生卡
1208,9,重生石
1209,5,技能刷新卡
1210,5,双倍经验绿卡
1211,10,双倍经验金卡
1213,2,小型银币堆
1391,9,补签一次
1540,20,改名卡
1639,15,添加宠物背包位
1682,400,大黄蜂时装
1683,400,金刚狼时装
1684,300,赤焰钢铁侠
1685,300,苍穹钢铁侠
1686,200,队长时装
1781,750,先知
1783,1500,泰坦
1789,100,沙漠进袭者
1790,200,破晓
1791,200,收割者
1792,1000,制裁者
1793,200,巨鲸
1794,180,潜行者
1820,370,铁魁基因体
1821,370,爆骷基因体
1849,40,稀有宝箱
1967,1,泰坦碎片
1968,1,先知碎片
1969,3,先知碎片
1970,2,沙漠进袭者碎片
1971,2,破晓碎片
1972,2,收割者碎片
1973,2,潜行者碎片
1974,2,巨鲸碎片
1976,380,小罗时装
1977,280,小鼬时装
1978,220,小贝头盔
1991,10,生命催化剂
1992,10,能量催化剂
1993,10,变异催化剂
2071,60,传奇宝箱
2072,400,小香时装
2080,10,增加赠送次数一次
2102,1000,挖掘者
2103,1,挖掘者碎片
2121,99,七夕黄金礼包
2138,1,光能石
2139,5,黑色碎片转化
2234,1,强化石
2295,550,团长时装
2298,650,小巴时装
2299,650,小乐时装
2355,50,双节黄金礼包
2449,100,联邦部长
2450,200,联邦国务卿
2451,300,联邦总统
2452,10,游说卡
2528,30,挑战次数
2581,20,感恩节豪华礼包
2611,600,圣诞老人时装
2612,600,圣诞女郎时装
2613,500,圣诞礼炮
2663,6,圣诞礼炮碎片
2752,600,炮仗
2772,2,滑翔技能碎片
2773,6,祖龙稀有碎片
2776,8,战斧稀有碎片
2777,5,蚁人碎片
2778,3,部落骨环碎片
2782,300,异龙蛋
2786,600,雷克基因体
2787,350,凯撒
2789,3,钛晶
2841,14,翻滚技能碎片
2887,40,补签一次
2981,8,守望之翼碎片
2982,7,无疆之章碎片
2999,6,斗士之角碎片
3105,8,双倍装备掉率卡
3106,10,双倍武器掉率卡
3108,100,69级零件箱
3109,300,75级零件箱
3110,800,78级零件箱
3119,1,装置箱
3139,10,神谕头盔碎片
3168,30,补签一次
3169,8,GM副本挑战次数
3170,70,周年豪华礼包
3215,1,蚀骨碎片
3216,10,神谕腰带碎片
3217,1,烟花弩碎片
3254,15,黑色碎片转化90
3425,10,神谕战衣碎片
3485,15,精石
3547,15,终级武器守护卡
3609,80,补充完成任务
3611,2,周年碎片
3612,5,装置箱
3613,1,副手箱
3655,1100,五星队长
3709,15,终级装备守护卡
3730,1,装扮券
3731,1,高级装扮券
3732,10,黄金装扮券
3832,10,神器宝箱
3833,4,神烦狗碎片
3897,2,钥匙箱
3902,5,骷髅权杖碎片
3903,5,王者之翼碎片
3904,5,狼首时装碎片
3905,2,洪荒碎片
3906,40,异虎宝箱
3907,40,远古宝箱
3909,1,镭晶
3911,3,卡特巨炮碎片
3912,3,狩猎者碎片
3913,80,生肖特惠包
3939,1,亥猪碎片
3942,1,年兽碎片
3944,2,兽甲碎片
3946,1,巳蛇碎片
3947,1200,军长时装
3949,7,酉鸡碎片
3950,1,午马碎片
3959,3,神武碎片
3960,3,神护碎片
3961,2,转化石
3962,2,神能石
3963,1,超能石
3965,3,光能石
3966,1200,大Boss时装
3967,800,小金时装
3968,700,夜魔时装
3969,200,小飞时装
3970,650,学生心零时装
3971,500,助手心零时装
3975,8,百合花
3976,1,子鼠碎片
3978,8,扫荡卡
3979,30,扫荡卡
3980,1,核能石
3984,3,武器宝石箱
3985,3,装备宝石箱
3986,4800,狂怒盖亚特惠包
3987,300,特惠礼包
3991,25,零件特惠包
3992,30,碎片特惠包
3993,90,升级特惠包
4043,1,申猴碎片
4048,1,血石
4049,2,高级装备箱
4050,2,高级武器箱
4051,8,高级步枪箱
4052,8,高级狙击箱
4053,8,高级手枪箱
4054,8,高级散弹箱
4055,10,战宠号角
4056,1,军备物资
4057,1,强化剂
4058,2,商券
4078,1500,幽鬼
4079,400,挖掘者
4080,1500,泰坦
